"publication","year","pub.count","city","state","country","geocode.value","lon","lat","geoAddress","count","relative.percentage"
"Bob Damron's Address Book",1969,77,"New Orleans","LA","United States","New Orleans, LA, United States",-90.0715323,29.9510658,"new orleans, la, usa",2,2.5974025974026
"Bob Damron's Address Book",1969,77,"New York City","NY","United States","New York City, NY, United States",-74.0059728,40.7127753,"new york, ny, usa",6,7.79220779220779
"Bob Damron's Address Book",1969,77,"Oakland","CA","United States","Oakland, CA, United States",-122.2711639,37.8043514,"oakland, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Phoenix","AZ","United States","Phoenix, AZ, United States",-112.0740373,33.4483771,"phoenix, az, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Portland","OR","United States","Portland, OR, United States",-122.6783853,45.515232,"portland, or, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Provincetown","MA","United States","Provincetown, MA, United States",-70.1846012,42.0547136,"provincetown, ma, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Roanoke","VA","United States","Roanoke, VA, United States",-79.9414266,37.2709704,"roanoke, va, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Rochester","NY","United States","Rochester, NY, United States",-77.6088465,43.1565779,"rochester, ny, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Rock Island","IL","United States","Rock Island, IL, United States",-90.5787476,41.5094771,"rock island, il, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Sacramento","CA","United States","Sacramento, CA, United States",-121.4943996,38.5815719,"sacramento, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"San Antonio","TX","United States","San Antonio, TX, United States",-98.4945922,29.4251905,"san antonio, tx, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"San Diego","CA","United States","San Diego, CA, United States",-117.1610838,32.715738,"san diego, ca, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"San Francisco","CA","United States","San Francisco, CA, United States",-122.4194155,37.7749295,"san francisco, ca, usa",3,3.8961038961039
"Bob Damron's Address Book",1969,77,"Seattle","WA","United States","Seattle, WA, United States",-122.3320708,47.6062095,"seattle, wa, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Springfield","IL","United States","Springfield, IL, United States",-89.6501481,39.7817213,"springfield, il, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"St. Joseph","MO","United States","St. Joseph, MO, United States",-94.846681,39.7674578,"st joseph, mo, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"St. Louis","MO","United States","St. Louis, MO, United States",-90.1994042,38.6270025,"st. louis, mo, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"St. Petersburg","FL","United States","St. Petersburg, FL, United States",-82.6402915,27.7676008,"st. petersburg, fl, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Tampa","FL","United States","Tampa, FL, United States",-82.4571776,27.950575,"tampa, fl, usa",1,1.2987012987013
"Bob Damron's Address Book",1969,77,"Washington","DC","United States","Washington, DC, United States",-77.0368707,38.9071923,"washington, dc, usa",1,1.2987012987013
"Bob Damron's Address Book",1970,87,"Akron","OH","United States","Akron, OH, United States",-81.5190053,41.0814447,"akron, oh, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Atlanta","GA","United States","Atlanta, GA, United States",-84.3876845,33.748752,"atlanta, ga, usa",2,2.29885057471264
"Bob Damron's Address Book",1970,87,"Bakersfield","CA","United States","Bakersfield, CA, United States",-119.0187125,35.3732921,"bakersfield, ca, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Baltimore","MD","United States","Baltimore, MD, United States",-76.6121893,39.2903848,"baltimore, md, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Boston","MA","United States","Boston, MA, United States",-71.0588801,42.3600825,"boston, ma, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Bridgeport","PA","United States","Bridgeport, PA, United States",-75.3451838,40.1051084,"bridgeport, pa, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Calumet City","IL","United States","Calumet City, IL, United States",-87.5294871,41.6155909,"calumet city, il, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Chicago","IL","United States","Chicago, IL, United States",-87.6297982,41.8781136,"chicago, il, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Cincinnati","OH","United States","Cincinnati, OH, United States",-84.5120196,39.1031182,"cincinnati, oh, usa",1,1.14942528735632
"Bob Damron's Address Book",1970,87,"Cleveland","OH","United States","Cleveland, OH, United States",-81.6943605,41.49932,"cleveland, oh, usa",1,1.14942528735632
