City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
West Palm Beach,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,West Palm Beach_FL_United States,26.752516,-80.161387
Boynton Beach,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Boynton Beach_FL_United States,#N/A,#N/A
Fort Lauderdale,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Fort Lauderdale_FL_United States,-80.143379,26.1223084
Hobe Sound,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Hobe Sound_FL_United States,#N/A,#N/A
Lake Worth,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Lake Worth_FL_United States,-80.069144,26.615891
Lake Worth,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Lake Worth_FL_United States,-80.069144,26.615891
Bushnell,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Bushnell_FL_United States,#N/A,#N/A
Plant City,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Plant City_FL_United States,#N/A,#N/A
Tampa,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Tampa_FL_United States,-82.458444,27.9477595
Tampa,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Tampa_FL_United States,-82.458444,27.9477595
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Gulfport,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Gulfport_FL_United States,-82.703433,27.7483613
Gulfport,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Gulfport_FL_United States,-82.703433,27.7483613
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Saint Petersburg,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Petersburg_FL_United States,-82.669509,27.7703796
Clearwater,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Clearwater_FL_United States,#N/A,#N/A
Largo,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Largo_FL_United States,-82.787324,27.9094665
Largo,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Largo_FL_United States,-82.787324,27.9094665
Largo,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Largo_FL_United States,-82.787324,27.9094665
Largo,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Largo_FL_United States,-82.787324,27.9094665
Largo,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Largo_FL_United States,-82.787324,27.9094665
Pinellas Park,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Pinellas Park_FL_United States,#N/A,#N/A
Davenport,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Davenport_FL_United States,#N/A,#N/A
Fort Myers,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Fort Myers_FL_United States,-81.872308,26.640628
Fort Myers,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Fort Myers_FL_United States,-81.872308,26.640628
North Fort Myers,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,North Fort Myers_FL_United States,#N/A,#N/A
North Fort Myers,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,North Fort Myers_FL_United States,#N/A,#N/A
North Fort Myers,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,North Fort Myers_FL_United States,#N/A,#N/A
Sanibel Island,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Sanibel Island_FL_United States,#N/A,#N/A
Naples,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Naples_FL_United States,-81.794294,26.1421976
Bonita Springs,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Bonita Springs_FL_United States,#N/A,#N/A
Bonita Springs,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Bonita Springs_FL_United States,#N/A,#N/A
Sarasota,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Sarasota_FL_United States,-82.530855,27.3365805
Sarasota,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Sarasota_FL_United States,-82.530855,27.3365805
Sarasota,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Sarasota_FL_United States,-82.530855,27.3365805
Laurel,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Laurel_FL_United States,#N/A,#N/A
Iverness,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Iverness_FL_United States,#N/A,#N/A
Land O' Lakes,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Land O' Lakes_FL_United States,#N/A,#N/A
Palm Harbor,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Palm Harbor_FL_United States,#N/A,#N/A
Port Saint Lucie,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Port Saint Lucie_FL_United States,#N/A,#N/A
Port Saint Lucie,FL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Port Saint Lucie_FL_United States,#N/A,#N/A
Alpharetta,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Alpharetta_GA_United States,#N/A,#N/A
Decatur,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Decatur_GA_United States,-84.574095,30.8736613
Stone Mountain,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Stone Mountain_GA_United States,#N/A,#N/A
Dallas,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Dallas_GA_United States,#N/A,#N/A
Atlanta,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Atlanta_GA_United States,-84.390264,33.7489924
Vidalia,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Vidalia_GA_United States,#N/A,#N/A
Dahlonega,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Dahlonega_GA_United States,#N/A,#N/A
Dahlonega,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Dahlonega_GA_United States,#N/A,#N/A
Demorest,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Demorest_GA_United States,#N/A,#N/A
Lavonia,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Lavonia_GA_United States,#N/A,#N/A
Athens,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Athens_GA_United States,-83.376398,33.9597677
Winterville,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Winterville_GA_United States,#N/A,#N/A
Augusta,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Augusta_GA_United States,-81.974843,33.4709714
Columbus,GA,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Columbus_GA_United States,-84.988045,32.4610708
Oahu,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Oahu_HI_United States,#N/A,#N/A
Oahu,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Oahu_HI_United States,#N/A,#N/A
Kailua-Kona,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Kailua-Kona_HI_United States,-155.99693,19.641941
Molokai,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Molokai_HI_United States,#N/A,#N/A
Kihei,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Kihei_HI_United States,-156.4464,20.763395
Pahoa,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Pahoa_HI_United States,-154.95007,19.4967518
Pahoa,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Pahoa_HI_United States,-154.95007,19.4967518
Pahoa,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Pahoa_HI_United States,-154.95007,19.4967518
Volcano,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Volcano_HI_United States,#N/A,#N/A
Maui,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Maui_HI_United States,-156.31068,20.8029568
Honolulu,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Honolulu_HI_United States,-157.85568,21.304547
Honolulu,HI,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Honolulu_HI_United States,-157.85568,21.304547
Pocatello,ID,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Pocatello_ID_United States,#N/A,#N/A
Nampa,ID,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Nampa_ID_United States,-116.55963,43.5737361
Sandpoint,ID,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Sandpoint_ID_United States,-116.55325,48.2765903
Elk Grove Village,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Elk Grove Village_IL_United States,#N/A,#N/A
Waukegan,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Waukegan_IL_United States,-87.844794,42.3636331
Waukegan,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Waukegan_IL_United States,-87.844794,42.3636331
Barlett,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Barlett_IL_United States,#N/A,#N/A
Elgin,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Elgin_IL_United States,-88.281099,42.03726
Elgin,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Elgin_IL_United States,-88.281099,42.03726
Lombard,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Lombard_IL_United States,#N/A,#N/A
Saint Charles,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Saint Charles_IL_United States,#N/A,#N/A
Aurora,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Aurora_IL_United States,#N/A,#N/A
Brorkfield,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Brorkfield_IL_United States,#N/A,#N/A
Plainfield,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Plainfield_IL_United States,#N/A,#N/A
Waterman,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Waterman_IL_United States,#N/A,#N/A
Westmont,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Westmont_IL_United States,#N/A,#N/A
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Chicago_IL_United States,-87.624421,41.8755616
Kankakee,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Kankakee_IL_United States,#N/A,#N/A
Rockford,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Rockford_IL_United States,-89.093966,42.2713945
Rockford,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Rockford_IL_United States,-89.093966,42.2713945
Peoria,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Peoria_IL_United States,-89.589101,40.6938609
Bloomington,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Bloomington_IL_United States,-88.993915,40.4797828
Normal,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Normal_IL_United States,-88.984394,40.5092961
Bismarck,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Bismarck_IL_United States,#N/A,#N/A
Champaign,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Champaign_IL_United States,-88.243093,40.1164841
Alton,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Alton_IL_United States,-90.184309,38.8908583
Alton,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Alton_IL_United States,-90.184309,38.8908583
Alton,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Alton_IL_United States,-90.184309,38.8908583
Edwardsville,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Edwardsville_IL_United States,#N/A,#N/A
Belleville,IL,United States,,,Contact Dyke Directory,,Directory,Lesbian Connection,28,5,March-April,2006,https://drive.google.com/file/d/1T76J0R2rdIolhho3FsnccP6vbxbn9D-S/view?usp=share_link,Belleville_IL_United States,-89.983994,38.5200504
