"publication","year","pub.count","geocode.value","lon","lat","count"
"Bob Damron's Address Book",1981,4690,"Edmonds, WA, United States",-122.3773552,47.8106521,1
"Bob Damron's Address Book",1981,4690,"El Cajon, CA, United States",-116.9625269,32.7947731,2
"Bob Damron's Address Book",1981,4690,"El Centro, CA, United States",-115.5630514,32.792,1
"Bob Damron's Address Book",1981,4690,"El Monte, CA, United States",-118.0275667,34.0686206,2
"Bob Damron's Address Book",1981,4690,"El Paso, TX, United States",-106.4850217,31.7618778,17
"Bob Damron's Address Book",1981,4690,"El Sobrante, CA, United States",-122.2952474,37.9771452,1
"Bob Damron's Address Book",1981,4690,"Elizabeth, NJ, United States",-74.2107006,40.6639916,1
"Bob Damron's Address Book",1981,4690,"Elmhurst, NY, United States",-73.8779431,40.7394035,1
"Bob Damron's Address Book",1981,4690,"Elmira, NY, United States",-76.8077338,42.0897965,3
"Bob Damron's Address Book",1981,4690,"Erie, PA, United States",-80.085059,42.1292241,4
"Bob Damron's Address Book",1981,4690,"Eugene, OR, United States",-123.0867536,44.0520691,6
"Bob Damron's Address Book",1981,4690,"Eureka Springs, AR, United States",-93.7392889,36.4006499,2
"Bob Damron's Address Book",1981,4690,"Eureka, CA, United States",-124.1636729,40.8020712,7
"Bob Damron's Address Book",1981,4690,"Evanston, IL, United States",-87.6876969,42.0450722,4
"Bob Damron's Address Book",1981,4690,"Evansville, IN, United States",-87.5710898,37.9715592,5
"Bob Damron's Address Book",1981,4690,"Everett, WA, United States",-122.2020794,47.9789848,4
"Bob Damron's Address Book",1981,4690,"Fabens, TX, United States",-106.1585867,31.50234,1
"Bob Damron's Address Book",1981,4690,"Fairbanks, AK, United States",-147.7199756,64.8400511,6
"Bob Damron's Address Book",1981,4690,"Fairfield, CA, United States",-122.0405151,38.2491956,1
"Bob Damron's Address Book",1981,4690,"Fall River, MA, United States",-71.1550451,41.7014912,1
"Bob Damron's Address Book",1981,4690,"Fargo, ND, United States",-96.7898034,46.8771863,7
"Bob Damron's Address Book",1981,4690,"Farmington, CT, United States",-72.795027,41.7360305,1
"Bob Damron's Address Book",1981,4690,"Fayetteville, AR, United States",-94.1605839,36.0626579,4
"Bob Damron's Address Book",1981,4690,"Fayetteville, NC, United States",-78.8783774,35.0523673,6
"Bob Damron's Address Book",1981,4690,"Fire Island, NY, United States",-73.1459474,40.6475997,16
"Bob Damron's Address Book",1981,4690,"Fitchburg, MA, United States",-71.8022955,42.5834228,1
"Bob Damron's Address Book",1981,4690,"Flagstaff, AZ, United States",-111.651302,35.1982836,1
"Bob Damron's Address Book",1981,4690,"Flint, MI, United States",-83.6874562,43.0125274,4
"Bob Damron's Address Book",1981,4690,"Floral Park, NY, United States",-73.7048532,40.7237133,1
"Bob Damron's Address Book",1981,4690,"Florence, AL, United States",-87.677251,34.79981,3
"Bob Damron's Address Book",1981,4690,"Florence, SC, United States",-79.7625625,34.1954331,3
"Bob Damron's Address Book",1981,4690,"Forest Park, IL, United States",-87.81367,41.8794758,2
"Bob Damron's Address Book",1981,4690,"Forest, MS, United States",-89.4742348,32.3645888,1
"Bob Damron's Address Book",1981,4690,"Forestville, CA, United States",-122.8902721,38.4735237,1
"Bob Damron's Address Book",1981,4690,"Freeport, ME, United States",NA,NA,1
"Bob Damron's Address Book",1981,4690,"Fremont, OH, United States",-83.1218634,41.3503303,1
"Bob Damron's Address Book",1981,4690,"Fresno, CA, United States",-119.7871247,36.7377981,10
"Bob Damron's Address Book",1981,4690,"Ft. Dodge, IA, United States",-94.1680158,42.4974694,1
"Bob Damron's Address Book",1981,4690,"Ft. Lauderdale, FL, United States",-80.1373174,26.1224386,51
"Bob Damron's Address Book",1981,4690,"Ft. Lee, NJ, United States",-73.9701381,40.8509333,1
"Bob Damron's Address Book",1981,4690,"Ft. Myers, FL, United States",-81.8723084,26.640628,8
"Bob Damron's Address Book",1981,4690,"Ft. Smith, AR, United States",-94.4209646,35.3843722,5
"Bob Damron's Address Book",1981,4690,"Ft. Walton Beach, FL, United States",-86.6170308,30.4200708,3
