"publication","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",16338,"Dixmore, IL, United States",-87.6609098,41.6298973,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Dodson, LA, United States",-92.660428,32.0804373,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Donna, TX, United States",-98.05195,26.1703525,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Dothan, AL, United States",-85.3904888,31.2232313,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Douglas, MI, United States",-86.2005933,42.6433583,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Dover, DE, United States",-75.5243682,39.158168,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Dover, NJ, United States",NA,NA,3,0.0183621006243114
"Bob Damron's Address Book",16338,"Duarte, CA, United States",-117.9772873,34.1394513,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Dubuque, IA, United States",-90.6677479,42.5063629,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Duluth, MN, United States",-92.1004852,46.7866719,9,0.0550863018729343
"Bob Damron's Address Book",16338,"Duncan Mills, CA, United States",-123.0550013,38.453803,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Duncansville, PA, United States",-78.433903,40.4234058,2,0.0122414004162076
"Bob Damron's Address Book",16338,"Dunkirk, NY, United States",-79.3339324,42.4795019,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Durango, CO, United States",-107.8800667,37.27528,6,0.0367242012486228
"Bob Damron's Address Book",16338,"Durham, NC, United States",-78.898619,35.9940329,20,0.122414004162076
"Bob Damron's Address Book",16338,"Dutch Flat, CA, United States",-120.8378103,39.2059586,1,0.00612070020810381
"Bob Damron's Address Book",16338,"Eagle Rock, CA, United States",-118.2140017,34.1391256,1,0.00612070020810381
"Bob Damron's Address Book",16338,"East Barnet, VT, United States",-72.0493779,44.2968323,1,0.00612070020810381
"Bob Damron's Address Book",16338,"East Greenwich, RI, United States",-71.5130445,41.6342619,1,0.00612070020810381
"Bob Damron's Address Book",16338,"East Hampton, NY, United States",NA,NA,6,0.0367242012486228
"Bob Damron's Address Book",16338,"East Islip, NY, United States",NA,NA,1,0.00612070020810381
