"publication","year","pub.count","geocode.value","lon","lat","count","relative.percentage"
"Bob Damron's Address Book",1975,2341,"Fairfax, CA, United States",-122.5888686,37.9871454,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Fargo, ND, United States",-96.7898034,46.8771863,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fayetteville, AR, United States",-94.1605839,36.0626579,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Fayetteville, NC, United States",-78.8783774,35.0523673,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fire Island, NY, United States",-73.1459474,40.6475997,7,0.299017513882956
"Bob Damron's Address Book",1975,2341,"Flint, MI, United States",-83.6874562,43.0125274,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Florence, AL, United States",-87.677251,34.79981,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Florence, SC, United States",-79.7625625,34.1954331,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fond Du Lac, WI, United States",-88.4470508,43.7730448,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Fontana, CA, United States",-117.435048,34.0922335,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Forest Park, IL, United States",-87.81367,41.8794758,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fort Lauderdale, FL, United States",-80.1373174,26.1224386,16,0.683468603161042
"Bob Damron's Address Book",1975,2341,"Fort Myers, FL, United States",-81.8723084,26.640628,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Fort Wayne, IN, United States",-85.1393513,41.079273,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fort Worth, TX, United States",-97.3307658,32.7554883,8,0.341734301580521
"Bob Damron's Address Book",1975,2341,"Frederiksted, St. Croix, VI, United States",-64.8818053,17.7122979,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Fresno, CA, United States",-119.7871247,36.7377981,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Ft. Smith, AR, United States",-94.4209646,35.3843722,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Fullerton, CA, United States",-117.9242123,33.8703645,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Gainesville, FL, United States",-82.324998,29.6519563,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Galveston, TX, United States",-94.7976958,29.3013479,5,0.213583938487826
"Bob Damron's Address Book",1975,2341,"Garden Grove, CA, United States",-117.9379952,33.7742692,10,0.427167876975651
"Bob Damron's Address Book",1975,2341,"Gardena, CA, United States",-118.3089624,33.8883487,2,0.0854335753951303
"Bob Damron's Address Book",1975,2341,"Gatlinburg, TN, United States",-83.5101638,35.714259,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Geneva on the Lake, OH, United States",-80.9539831,41.8594971,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Ghent, NY, United States",-73.6300729,42.320699,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Glenbrook, CT, United States",-73.5262337,41.064819,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Glendora, CA, United States",-117.865339,34.1361187,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Grand Forks, ND, United States",-97.0328547,47.9252568,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Grand Haven, MI, United States",-86.2283864,43.0630734,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Grand Rapids, MI, United States",-85.6680863,42.9633599,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Grass Valley, CA, United States",-121.0610606,39.2190608,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Great Falls, MT, United States",-111.3007715,47.5052849,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Green Bay, WI, United States",-88.0132958,44.5133188,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Greensboro, NC, United States",-79.7919754,36.0726354,4,0.170867150790261
"Bob Damron's Address Book",1975,2341,"Greensburg, PA, United States",-79.5389289,40.3014581,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Greenwich, CT, United States",-73.6281964,41.0262417,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Gulfport, MS, United States",-89.0928155,30.3674198,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hagerstown, MD, United States",-77.7199932,39.6417629,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Hallandale, FL, United States",-80.148379,25.9812024,3,0.128150363092695
"Bob Damron's Address Book",1975,2341,"Hanover, NH, United States",-72.2895526,43.7022451,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Harpers Ferry, WV, United States",-77.7388818,39.3253786,1,0.0427167876975651
"Bob Damron's Address Book",1975,2341,"Harrisburg, PA, United States",-76.8867008,40.2731911,5,0.213583938487826
"Bob Damron's Address Book",1975,2341,"Hartford, CT, United States",-72.6733723,41.7658043,6,0.256300726185391
"Bob Damron's Address Book",1975,2341,"Hattiesburg, MS, United States",-89.2903392,31.3271189,1,0.0427167876975651
