"publication","geocode.value","count","relative.percentage","location_rank"
"Bob Damron's Address Book","Cocoa Beach, FL",31,0.0705957369284023,130
"Bob Damron's Address Book","Coconut Grove, FL",3,0.00683184550920022,158
"Bob Damron's Address Book","Cold Spring, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","College Park, GA",9,0.0204955365276007,152
"Bob Damron's Address Book","College Park, MD",15,0.0341592275460011,146
"Bob Damron's Address Book","College Station, TX",9,0.0204955365276007,152
"Bob Damron's Address Book","Collegeville, PA",3,0.00683184550920022,158
"Bob Damron's Address Book","Coloma, MI",3,0.00683184550920022,158
"Bob Damron's Address Book","Colony, KS",1,0.00227728183640007,160
"Bob Damron's Address Book","Colorado Springs, CO",99,0.225450901803607,74
"Bob Damron's Address Book","Colrain, MA",1,0.00227728183640007,160
"Bob Damron's Address Book","Colrain, ME",1,0.00227728183640007,160
"Bob Damron's Address Book","Columbia, MD",1,0.00227728183640007,160
"Bob Damron's Address Book","Columbia, MO",53,0.120695937329204,108
"Bob Damron's Address Book","Columbia, SC",103,0.234560029149208,72
"Bob Damron's Address Book","Columbus, GA",49,0.111586809983604,112
"Bob Damron's Address Book","Columbus, IN",4,0.00910912734560029,157
"Bob Damron's Address Book","Columbus, MS",7,0.0159409728548005,154
"Bob Damron's Address Book","Columbus, OH",185,0.421297139734014,43
"Bob Damron's Address Book","Columbus, TX",3,0.00683184550920022,158
"Bob Damron's Address Book","Concord, CA",13,0.0296046638732009,148
"Bob Damron's Address Book","Concord, NH",8,0.0182182546912006,153
"Bob Damron's Address Book","Condado, PR",31,0.0705957369284023,130
"Bob Damron's Address Book","Coney Island, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Congers, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Conneaut Lake, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Conroe, TX",1,0.00227728183640007,160
"Bob Damron's Address Book","Convent Station, NJ",4,0.00910912734560029,157
"Bob Damron's Address Book","Conway, NH",1,0.00227728183640007,160
"Bob Damron's Address Book","Coopersburg, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cooperstoown, PA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cooperstown, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Coos Bay, OR",19,0.0432683548916014,142
"Bob Damron's Address Book","Coos Bay-North Bend, OR",6,0.0136636910184004,155
"Bob Damron's Address Book","Copaigue, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Copiague, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Coral Gables, FL",2,0.00455456367280015,159
"Bob Damron's Address Book","Corning, NY",3,0.00683184550920022,158
"Bob Damron's Address Book","Corona Del Mar, CA",2,0.00455456367280015,159
"Bob Damron's Address Book","Corpus Christi, TX",60,0.136636910184004,101
"Bob Damron's Address Book","Corte Madera, CA",1,0.00227728183640007,160
"Bob Damron's Address Book","Cortland, NY",1,0.00227728183640007,160
"Bob Damron's Address Book","Corvallis, OR",19,0.0432683548916014,142
"Bob Damron's Address Book","Coshocton, OH",46,0.104754964474403,115
"Bob Damron's Address Book","Costa Mesa, CA",41,0.093368555292403,120
