"geocode.value","lat","lon","damron_percent","gaia_percent","damron_ratio","gaia_ratio","ratio","log_ratio"
"Albuquerque, NM",35.0843859,-106.650422,0.285171102661597,0.527253824446755,0.54086113640015,1.84890341105995,0.54086113640015,-0.614592712565635
"Staten Island, NY",40.5795317,-74.1502007,0.0570342205323194,0.111391653052131,0.512015209125477,1.95306698351403,0.512015209125477,-0.669400949060627
"Joplin, MO",37.0842271,-94.513281,0.064638783269962,0.126243873459082,0.512015209125476,1.95306698351403,0.512015209125476,-0.669400949060628
"Lynn, MA",42.466763,-70.9494938,0.0456273764258555,0.089113322441705,0.512015209125475,1.95306698351404,0.512015209125475,-0.66940094906063
"Missoula, MT",46.8721284,-113.9940314,0.0798479087452472,0.155948314272984,0.512015209125475,1.95306698351404,0.512015209125475,-0.66940094906063
"Anchorage, AK",61.2175758,-149.8996785,0.174904942965779,0.349027179563345,0.501121268505783,1.99552496141652,0.501121268505783,-0.690907154281597
"San Bernardino, CA",34.1083449,-117.2897652,0.102661596958175,0.207931085697312,0.493728951656708,2.02540279771826,0.493728951656708,-0.705768593231505
"Columbia, MO",38.9517053,-92.3340724,0.064638783269962,0.133669983662558,0.483569919729614,2.06795327666193,0.483569919729614,-0.726559362900581
"Newport, RI",41.4901024,-71.3128285,0.064638783269962,0.133669983662558,0.483569919729614,2.06795327666193,0.483569919729614,-0.726559362900581
"Greenville, SC",34.8526176,-82.3940104,0.0570342205323194,0.118817763255607,0.480014258555132,2.08327144908164,0.480014258555132,-0.733939470198203
"Augusta, GA",33.4734978,-82.0105148,0.0494296577946768,0.103965542848656,0.475442694187941,2.10330290532281,0.475442694187941,-0.743508921214353
"Bloomington, IN",39.165325,-86.5263857,0.0874524714828897,0.185652755086885,0.471053992395438,2.12289889512395,0.471053992395438,-0.752782557999679
"Joliet, IL",41.525031,-88.0817251,0.0418250950570342,0.089113322441705,0.469347275031686,2.13061852746986,0.469347275031686,-0.75641232605026
"Durham, NC",35.9940329,-78.898619,0.0798479087452472,0.170800534679935,0.46749214746239,2.13907336289633,0.46749214746239,-0.760372727266358
"Memphis, TN",35.1495343,-90.0489801,0.368821292775665,0.824298232585772,0.44743671428082,2.23495293989751,0.44743671428082,-0.804220171869583
"Salem, OR",44.9428975,-123.0350963,0.064638783269962,0.148522204069508,0.435212927756655,2.29772586295768,0.435212927756655,-0.831919878558402
"Dayton, OH",39.7589478,-84.1916069,0.193916349809886,0.445566612208525,0.435212927756654,2.29772586295769,0.435212927756654,-0.831919878558404
"Billings, MT",45.7832856,-108.5006904,0.0418250950570342,0.0965394326451805,0.433243638490786,2.30817007142568,0.433243638490786,-0.836455033723797
