type_clean,n
theater/arts center,5
theater/arts centers,2
theater/restaurant,2
theaters,4
theatre,780
"theatre,bars/clubs",15
"theatre,book store",25
"theatre,book store,cruising areas",3
"theatre,book store,erotic shop",10
"theatre,cruising areas",59
"theatre,cruising areas,book store",2
"theatre,restaurant",7
therapists,2
third world group,3
tour operators,4
travel,6
travel agencies,27
travel agencies and clubs,6
travel agency,177
travel agency or tour operators,128
"travel agency,hotel",7
travel agents,519
travel and tour operators,128
travel service,191
"travel service,hotel",6
travel/tour operators,1441
tv show,4
university,3
unlisted,5
vacation and recreation,2
vacation ranch,2
vacations,3
victim / emergency services,9
walking tour,2
wilderness trips,2
women only bed and breakfast guest house,2
women's building,6
women's center,53
women's centers,92
women's club,2
women's coffeehouse,3
women's garage,2
women's guest house,4
women's gym,8
women's holiday rentals,2
women's land,3
women's land trust,3
women's music,2
women's radio,2
women's retreat,10
womyn's hostels / guest houses / retreats,5
youth group,2
NA,264
