"type","count"
"Crusiy Areas",45
"Cultural Center",1
"Cultural Complex",1
"Cultural Organizations",2
"Dance Lessons",1
"Dating Service",2
"Dating Services",3
"Daytona",1
"Delicatessen",2
"Dentist",5
"Dentists",14
"Directory",3
"Disco",5
"Disco Night",2
"Disco/Baths",1
"Discussion Group",8
"Distributors",1
"Drug Clinic",1
"Drug/Alcohol Services",2
"Educational Institution",2
"Emergency Services",2
"Emergency Victim Services",1
"Entertainment & Recreation",986
"Entertainment & Recreation,Cruisy Areas",3
"Erotic Shop",454
"Erotic Shop,Bars/Clubs",3
"Erotic Shop,Book Store",102
"Erotic Shop,Book Store,Cruising Areas",6
"Erotic Shop,Book Store,Theatre",2
"Erotic Shop,Business",7
"Erotic Shop,Cruising Areas",15
"Erotic Shop,Cruising Areas,Book Store",3
"Erotic Shop,Theatre",1
"Erotic Shop,Theatre,Cruising Areas",2
"Erotica",7154
"Erotica,Book Stores or Retail Shops",1
"Erotica,Cruising Areas",3
"Erotica,Cruisy Areas",5
"Erotica/Adult Books",63
"Erotica/Adult Groups",337
"Erotica/Adult Groups,Cruising Areas",1
"Escort Service",21
"Escort and Model Services",64
"Escorts & Model Services",7
"Event",3
"Events",10
"Feminist / Lesbian Bookstore",1
"Feminist / Progressive Bookstore and Cafe",1
"Feminist Books - Mail Order",1
"Feminist Bookstore",292
"Feminist Bookstore ",7
"Feminist Bookstore / Cafe",2
"Feminist Bookstore / Coffeehouse / Art Gallery",1
"Feminist Bookstore / Restaurant / Overnight Lodging",1
"Feminist Bookstore and Art Gallery",1
"Feminist Bookstore and Women's Resource Center",1
"Feminist Center and Bookstore",1
"Feminist Coffeehouse",3
"Feminist Entertainment Center",1
"Feminist Garage",1
"Feminist Health Clinic",1
"Feminist Library and Newsletter",1
"Feminist Newspaper",2
"Feminist Organization and Networking Center",1
"Feminist Periodical",1
"Feminist Restaurant",4
"Feminist Restaurant and Bookstore",1
"Feminist Restaurant/Bookstore",2
"Feminist Retreat",1
"Feminist Shop",4
"Feminist Shop & Bookstore",2
"Feminist Shops",3
"Feminist Social Club & Restaurant",1
"Feminist Social Club and Restaurant",1
"Feminist Store",14
"Feminist Stores",2
"Feminist Theater Group",1
"Feminist Theatre",1
"Feminist Therapists",1
"Festival",1
"Fitness Center",3
"Food Store",3
"For review",17
"For review,Restaurant",1
"Framing Shop",2
"Friendship Network",1
"Funeral Director",1
"Funeral Services",1
"Garage",5
"Gay / Lesbian / Feminist Bookstore",1
