type_clean,n
other guest houses,2
other lesbian special interest groups,2
other services,2
outdoor trips,2
pamphlet and periodoical outlet,2
personal contact club,2
political/legislative,2
private club,2
private parties,2
progressive bookstore,2
public relations,2
radio program and television,2
ranch,2
rape crisis,2
real estate agent,2
records/music,2
recreational retreat,2
religious groups and organizations,2
"religious institution,community center/ support group",2
"restaurant,bars/clubs,bathhouses",2
"restaurant,hotel,bars/clubs,cruising areas",2
"restaurant,hotel,cruising areas",2
"restaurant,hotel,travel service",2
"restaurants and cafes,book stores or retail shops",2
restaurants/supper clubs,2
roommate matching services,2
salon tea,2
sauna,2
sea charters,2
self-defense school,2
sex shops,2
social event,2
social group,2
spirituality center,2
surfing lessons,2
swimming pool/bar,2
tea dance,2
tea room/restaurant,2
tea-room,2
theater and music events,2
theater/arts centers,2
theater/restaurant,2
"theatre,cruising areas,book store",2
therapists,2
vacation and recreation,2
vacation ranch,2
walking tour,2
wilderness trips,2
women only bed and breakfast guest house,2
women's club,2
women's garage,2
women's holiday rentals,2
women's music,2
women's radio,2
youth group,2
"accommodations,bars",1
"accommodations,bars/clubs",1
"accommodations,cruising areas",1
"accommodations,restaurants and cafes",1
"accommodations,travel agency or tour operators",1
accomodation agency,1
activities for fat women,1
adventure,1
advertising agency,1
advertising specialties / promotional items / trophies and awards / buttons / t-shirts,1
aikido school,1
alcoholics anonymous,1
all-gay guest house,1
alternative / spirituality bookstore,1
alternative bookstore / cafe / local info.,1
animal clinic,1
antiques,1
apartment locations,1
apartments,1
art and film gallery,1
art center,1
athletic association,1
"attorneys / legal services / legal referrals, etc.",1
attorneys/legal assistance,1
bakery,1
bar / swimming pool,1
bar guide,1
bar night,1
bar/coffeehouse,1
bargain shop,1
"bars,cafes",1
"bars,restaurants and cafes",1
"bars/clubs,bathhouses,hotel",1
"bars/clubs,baths,hotel,restaurant",1
"bars/clubs,book store,cruising areas",1
"bars/clubs,business,cruising areas",1
"bars/clubs,business,erotic shop",1
"bars/clubs,business,hotel,restaurant",1
"bars/clubs,gym",1
"bars/clubs,hotel,bathhouses",1
"bars/clubs,hotel,restaurant,business",1
"bars/clubs,organizations",1
"bars/clubs,restaurant,baths",1
"bars/clubs,restaurant,business",1
"bars/clubs,restaurant,hotels",1
"bars/clubs,restaurant,theatre",1
"bars/clubs,theatre,baths",1
"bars/clubs,theatre,restaurant",1
"bars/clubs,travel agency",1
bars[3x],1
"bathhouses,bars/clubs,cruising areas",1
"bathhouses,bars/clubs,hotel",1
"bathhouses,restaurant",1
"bathhouses,restaurant,hotel",1
"baths,bars/clubs,cruising areas",1
"baths,bars/clubs,hotel",1
"baths,cruising areas",1
"baths,theatre,bars/clubs",1
bed and breakfast inn,1
"book store,bars/clubs,erotic shop,business",1
"book store,bathhouses,erotic shop",1
"book store,cruising areas,erotic shop,theatre",1
"book store,cruising areas,religious institution",1
"book store,cruising areas,theatre,business",1
"book store,erotic shop,bars/clubs",1
"book store,hotel",1
"book store,organization",1
"book store,theatre,baths",1
"book store,theatre,cruising areas,erotic shop",1
"book store,theatre,erotic shop,cruising areas",1
"book stores or retail shops,erotica",1
bookcenter,1
bookstore cafe,1
bookstore/art gallery,1
bookstore/cafe,1
bookstore/feminist specialty shop,1
bookstore/publishing house,1
bookstore/records,1
"bookstores,cruisy areas",1
"bookstores/retail shops,cruisy areas",1
"bookstores/retail shops,travel/tour operators",1
bowling league,1
business association,1
"business,bars/clubs",1
"business,book store,erotic shop",1
"business,book store,theatre",1
"business,cruising areas,book store",1
"business,cruising areas,erotic shop",1
"business,cruising areas,restaurant",1
"business,erotic shop,book store",1
"business,escort service",1
"business,organizations",1
"business,travel service",1
buttons,1
cabin,1
cabins and camping,1
cafe,1
cafe / club,1
cafe / gallery,1
cafe/bookstore,1
cafe/coffeehouse,1
camping,1
cape coral,1
card shop,1
cat doctor,1
center/bookstore,1
centers / organizations / groups,1
centers/organizations/groups,1
ceremony,1
"church,organizations",1
cinema,1
clothing,1
club,1
coffee bar,1
coffeebar,1
coffeehouse/bar,1
coffeehouse/cafe,1
coffeehouse/cultural center,1
committee,1
"community center/ support group,publication",1
"community center/support group,hotlines",1
computer services,1
counseling / health services,1
counseling and health,1
counseling and health services,1
"counseling and health,etc",1
counseling and therapy-private,1
counseling center,1
counselling/health,1
country b and b,1
country trips,1
craft market,1
crafts shop and gallery,1
"cruising areas,accommodations",1
"cruising areas,bars/clubs,hotel,restaurant",1
"cruising areas,bathhouses,bars/clubs,hotel",1
"cruising areas,book store,bars/clubs",1
"cruising areas,business,erotic shop,restaurant,bars/clubs",1
"cruising areas,campground",1
"cruising areas,erotic shop,restaurant,book store",1
"cruising areas,erotica",1
"cruising areas,hotel,restaurant",1
"cruising areas,hotels",1
"cruising areas,hotlines",1
"cruising areas,publications",1
"cruising areas,theatre,erotic shop,book store",1
"cruising areas,travel service",1
cultural center,1
cultural complex,1
dance lessons,1
daytona,1
disco/baths,1
distributors,1
drug clinic,1
emergency victim services,1
"erotic shop,theatre",1
"erotica,book stores or retail shops",1
"erotica/adult groups,cruising areas",1
feminist / lesbian bookstore,1
feminist / progressive bookstore and cafe,1
feminist books - mail order,1
feminist bookstore / coffeehouse / art gallery,1
feminist bookstore / restaurant / overnight lodging,1
feminist bookstore and art gallery,1
feminist bookstore and women's resource center,1
